"minGCV","optimalBandwidth","meanBeta.Intercept","meanBeta.MAX","meanBeta.FIN_SQ_FT","meanBeta.ACRES_POLY","meanBeta.YEAR_BUILT","meanBeta.OWNOCC","meanBeta.MED_INCOME","meanBeta.MCA3","meanBeta.LAKE_dist","meanBeta.PARK_dist","meanBeta.SHOP_dist","meanBeta.CBD_dist","sterBeta.Intercept","sterBeta.MAX","sterBeta.FIN_SQ_FT","sterBeta.ACRES_POLY","sterBeta.YEAR_BUILT","sterBeta.OWNOCC","sterBeta.MED_INCOME","sterBeta.MCA3","sterBeta.LAKE_dist","sterBeta.PARK_dist","sterBeta.SHOP_dist","sterBeta.CBD_dist"
0.060675185446582,200,6.99058830100124,-0.00221140351245356,0.000292753462242201,0.27569976774839,0.00141110975013717,0.0274341524762931,3.102721675879e-06,0.00418479515085611,2.49543993288745e-05,-2.96716235089931e-06,-3.10821760115692e-06,1.24960131467407e-05,3.82770150523313,0.00302153942149878,5.75903221428949e-05,0.290087872788359,0.00181312474567634,0.0738339264328832,1.62063650536725e-06,0.00441457007333211,4.22527243768064e-05,2.10770387723147e-05,2.30307301994975e-05,1.17212070635869e-05
0.0607604186518316,200,7.22645880723662,-0.00212379866609118,0.000292932251274386,0.277448531518777,0.00128528668615679,0.0329995322113489,3.17729997991589e-06,0.00413681557942565,2.41688623804349e-05,-2.49974234125899e-06,-2.97494627451649e-06,1.28802663770454e-05,3.70320107178619,0.0030561289235312,5.72228248500002e-05,0.291732331345087,0.00178225387362455,0.0759940697167493,1.62151444134593e-06,0.00454790578380395,4.11127437299318e-05,2.10299728883341e-05,2.41069583446908e-05,1.22515908856737e-05
0.0605952934745528,200,7.12228388025588,-0.00225584624007389,0.000290655439366221,0.293657048431577,0.0012977638760086,0.0290166761174055,3.11063143114027e-06,0.00439747800787702,2.40536124825963e-05,-2.58417125469921e-06,-3.18853490212221e-06,1.27360549392892e-05,3.76252504837424,0.00299391588164054,5.97547741809378e-05,0.298564610774388,0.0017951171190374,0.0731832280665134,1.61675577054719e-06,0.00459094520571099,4.38734696029566e-05,1.99148997808701e-05,2.43504886944494e-05,1.18391414429191e-05
0.0609849178882713,200,7.23306772693829,-0.00224282766321703,0.000293623216495167,0.262971176963177,0.00126318234946346,0.0296682833475379,3.15430868404987e-06,0.00428024099976808,2.52163586182179e-05,-2.33747300136016e-06,-3.34976957436562e-06,1.26540722656244e-05,3.72450238315154,0.00306518730068448,5.69144811681042e-05,0.283209396482325,0.00177536707168802,0.0731751763854688,1.57850507883222e-06,0.00454571408344592,4.19994166535336e-05,2.03455396868248e-05,2.22090792987156e-05,1.19539506759452e-05
0.0610287300614012,200,7.12991391826842,-0.00212803997213386,0.00029390892561744,0.278522794787768,0.00135008004453057,0.0306231947785986,3.16028092530698e-06,0.0040184861195956,2.45517424227372e-05,-2.58649862176131e-06,-3.0310451440587e-06,1.30810365370433e-05,3.73583384361176,0.00296447696089264,5.60716481802691e-05,0.279865347673811,0.00181241247853031,0.0737965458456991,1.61949021861651e-06,0.00454340709081459,4.0809451803599e-05,2.05481529751673e-05,2.27972263350682e-05,1.23131751136224e-05
0.0604529448321489,200,7.29515328651267,-0.00223038378407038,0.000294125887620252,0.275127340023515,0.00125997412488977,0.0301967703128828,3.14438704684146e-06,0.00412200879548181,2.46041373610156e-05,-2.27446732659533e-06,-3.26396394365987e-06,1.2823691204474e-05,3.74765850571408,0.00299719911251956,5.77857955186413e-05,0.30280910254863,0.00180601358162001,0.0737915216130348,1.69421883930573e-06,0.00428964244830429,4.20861439462916e-05,2.06233127638658e-05,2.34942657070549e-05,1.18624307178668e-05
0.0608527724305555,200,7.07161325481446,-0.002299692695998,0.000291376493482951,0.27006535675341,0.0013682428850515,0.0286823663233814,3.08926382011732e-06,0.00421174473664658,2.53384797254463e-05,-2.47378913051131e-06,-2.55505616045817e-06,1.28476047150788e-05,3.85006237482748,0.00321434711135962,5.64717214619289e-05,0.286343012106148,0.00183629109266574,0.0721327581564112,1.61414405727113e-06,0.00439635684527966,4.20586447956542e-05,2.08747985727603e-05,2.36056094883749e-05,1.23892380905803e-05
0.0609776369297566,200,7.2209229281,-0.00219719138591104,0.000293549494977384,0.277140821987277,0.00129032707923974,0.0282539192983399,3.20212437205601e-06,0.00415968746237371,2.42528296915436e-05,-2.44644105035182e-06,-3.66229569431436e-06,1.24500996455901e-05,3.8481779796609,0.00303547263753047,5.70183180248881e-05,0.307451181184168,0.00182567840612699,0.072097488991859,1.67050413328683e-06,0.00447336489695468,4.18512337214681e-05,2.0023236737326e-05,2.36937359037165e-05,1.22279793596656e-05
0.0607677490607599,200,7.07965464461667,-0.00208172785005294,0.000293534770356598,0.273682052443805,0.00133964403031672,0.0309717333999027,3.17456149272636e-06,0.00425322064862081,2.52942506537595e-05,-2.01377904208054e-06,-2.81700403350389e-06,1.21691306033352e-05,3.71190728894936,0.00311597579590388,5.7457345017479e-05,0.300932672556606,0.00172871040215635,0.0759907347303181,1.6768881300526e-06,0.00460170389252639,4.14408078017323e-05,2.02225042846734e-05,2.32959008226868e-05,1.22792923071961e-05
0.0606126503775951,200,7.26507763097314,-0.0020903861852744,0.000294192552641515,0.263085758907242,0.00126042291333957,0.0311620132890617,3.13434472661622e-06,0.00417023855936582,2.5186141679917e-05,-3.05063367771743e-06,-2.93609268985641e-06,1.33043383578638e-05,3.89406820020002,0.00298926446959407,5.97796542624351e-05,0.290201055971063,0.0018305168039673,0.0754038244259641,1.64300143850449e-06,0.00465876112960915,4.39401707094223e-05,1.99872376098029e-05,2.34027019385833e-05,1.19597241701845e-05
